,State,Area,Year,Pop_Est,Int_Mig_Rate,Dom_Mig_Rate
434,AL,Tallapoosa County,2011,41394,0.0,-1.1
435,AL,Tallapoosa County,2012,41040,0.2,-8.2
436,AL,Tallapoosa County,2013,41021,0.1,1.5
437,AL,Tallapoosa County,2014,40886,0.0,-1.6
438,AL,Tallapoosa County,2015,40617,0.0,-6.4
439,AL,Tallapoosa County,2016,40574,0.0,1.2
440,AL,Tallapoosa County,2017,40681,0.0,5.4
441,AL,Tuscaloosa County,2011,196699,1.2,4.1
442,AL,Tuscaloosa County,2012,198597,1.0,4.2
443,AL,Tuscaloosa County,2013,200752,1.4,5.6
444,AL,Tuscaloosa County,2014,202803,1.5,4.4
445,AL,Tuscaloosa County,2015,204473,1.7,3.0
446,AL,Tuscaloosa County,2016,206282,1.7,3.0
447,AL,Tuscaloosa County,2017,207811,1.7,2.1
448,AL,Walker County,2011,66577,0.3,-5.2
449,AL,Walker County,2012,66084,0.4,-4.7
450,AL,Walker County,2013,65749,0.3,-1.0
451,AL,Walker County,2014,65326,0.3,-4.5
452,AL,Walker County,2015,64939,0.4,-2.4
453,AL,Walker County,2016,64561,0.4,-3.4
454,AL,Walker County,2017,64058,0.4,-5.1
455,AL,Washington County,2011,17355,1.1,-15.1
456,AL,Washington County,2012,17140,1.0,-12.8
457,AL,Washington County,2013,16888,0.8,-11.5
458,AL,Washington County,2014,16851,0.9,-0.3
459,AL,Washington County,2015,16812,0.9,-0.6
460,AL,Washington County,2016,16646,1.1,-10.5
461,AL,Washington County,2017,16531,1.1,-6.1
462,AL,Wilcox County,2011,11440,0.0,-10.8
463,AL,Wilcox County,2012,11306,0.0,-11.4
464,AL,Wilcox County,2013,11150,0.0,-13.2
465,AL,Wilcox County,2014,10951,0.0,-15.2
466,AL,Wilcox County,2015,10901,0.0,-2.0
467,AL,Wilcox County,2016,10875,0.0,-4.3
468,AL,Wilcox County,2017,10719,0.0,-15.3
469,AL,Winston County,2011,24354,-0.2,0.7
470,AL,Winston County,2012,24186,-0.1,-3.9
471,AL,Winston County,2013,24183,0.0,2.8
472,AL,Winston County,2014,24129,0.0,0.2
473,AL,Winston County,2015,23918,0.0,-6.7
474,AL,Winston County,2016,23887,0.0,2.1
475,AL,Winston County,2017,23722,0.0,-3.1
476,AK,Alaska,2011,722259,2.0,-1.4
477,AK,Alaska,2012,730825,3.5,-1.7
478,AK,Alaska,2013,736760,3.0,-4.8
479,AK,Alaska,2014,736759,2.7,-13.0
480,AK,Alaska,2015,737979,3.1,-11.1
481,AK,Alaska,2016,741522,2.5,-6.9
482,AK,Alaska,2017,739795,2.1,-13.4
483,AK,Aleutians East Borough,2011,3262,25.2,-1.2
484,AK,Aleutians East Borough,2012,3304,18.9,-9.1
485,AK,Aleutians East Borough,2013,3324,17.2,-13.9
486,AK,Aleutians East Borough,2014,3325,20.8,-24.4
487,AK,Aleutians East Borough,2015,3346,21.3,-15.9
488,AK,Aleutians East Borough,2016,3324,21.3,-30.6
489,AK,Aleutians East Borough,2017,3370,21.2,-9.3
490,AK,Aleutians West Census Area,2011,5587,12.4,-13.1
491,AK,Aleutians West Census Area,2012,5689,16.1,-0.4
492,AK,Aleutians West Census Area,2013,5752,21.0,-14.5
493,AK,Aleutians West Census Area,2014,5839,20.7,-9.5
494,AK,Aleutians West Census Area,2015,5818,21.4,-28.0
495,AK,Aleutians West Census Area,2016,5747,22.0,-37.9
496,AK,Aleutians West Census Area,2017,5763,21.9,-23.8
497,AK,Anchorage Municipality,2011,296291,2.7,-3.9
498,AK,Anchorage Municipality,2012,298520,4.7,-7.6
499,AK,Anchorage Municipality,2013,301081,3.8,-5.6
500,AK,Anchorage Municipality,2014,300296,3.3,-16.8
501,AK,Anchorage Municipality,2015,298018,3.9,-21.7
502,AK,Anchorage Municipality,2016,297376,3.1,-14.5
503,AK,Anchorage Municipality,2017,294356,2.7,-22.1
504,AK,Bethel Census Area,2011,17416,0.0,-1.6
505,AK,Bethel Census Area,2012,17656,0.3,-3.5
506,AK,Bethel Census Area,2013,17847,0.3,-9.5
507,AK,Bethel Census Area,2014,17929,0.2,-15.2
508,AK,Bethel Census Area,2015,17951,0.3,-15.6
509,AK,Bethel Census Area,2016,17980,0.2,-14.3
510,AK,Bethel Census Area,2017,18076,0.2,-10.4
511,AK,Bristol Bay Borough,2011,1030,0.0,20.7
512,AK,Bristol Bay Borough,2012,980,0.0,-50.7
513,AK,Bristol Bay Borough,2013,952,0.0,-36.2
514,AK,Bristol Bay Borough,2014,949,0.0,0.0
515,AK,Bristol Bay Borough,2015,904,0.0,-54.0
516,AK,Bristol Bay Borough,2016,905,0.0,-4.4
517,AK,Bristol Bay Borough,2017,867,0.0,-45.1
518,AK,Denali Borough,2011,1870,8.6,2.7
519,AK,Denali Borough,2012,1909,10.1,2.6
520,AK,Denali Borough,2013,1932,8.9,-2.6
521,AK,Denali Borough,2014,1913,12.0,-27.6
522,AK,Denali Borough,2015,1931,12.5,-7.3
523,AK,Denali Borough,2016,2045,13.1,37.7
524,AK,Denali Borough,2017,2074,12.6,-9.7
525,AK,Dillingham Census Area,2011,4948,0.0,4.5
526,AK,Dillingham Census Area,2012,4953,0.2,-12.1
