,State,Area,LHS,HS,SC,BD
1044,KY,Clinton County,28.8,38.1,22.1,11.0
1045,KY,Crittenden County,19.8,39.0,28.5,12.8
1046,KY,Cumberland County,21.9,34.5,29.4,14.2
1047,KY,Daviess County,11.6,36.2,30.9,21.2
1048,KY,Edmonson County,23.0,40.2,24.8,11.9
1049,KY,Elliott County,24.2,42.3,24.8,8.8
1050,KY,Estill County,24.3,47.9,18.6,9.2
1051,KY,Fayette County,10.1,20.6,27.9,41.4
1052,KY,Fleming County,23.2,38.4,25.8,12.7
1053,KY,Floyd County,24.2,36.2,27.8,11.8
1054,KY,Franklin County,12.4,30.7,28.6,28.3
1055,KY,Fulton County,22.7,35.1,28.8,13.4
1056,KY,Gallatin County,19.7,44.4,25.9,10.0
1057,KY,Garrard County,20.0,38.1,26.4,15.5
1058,KY,Grant County,17.5,45.8,24.3,12.4
1059,KY,Graves County,18.3,37.2,27.7,16.8
1060,KY,Grayson County,20.9,42.8,26.2,10.2
1061,KY,Green County,23.0,43.5,23.2,10.3
1062,KY,Greenup County,13.2,37.3,32.7,16.8
1063,KY,Hancock County,11.7,45.3,31.2,11.8
1064,KY,Hardin County,10.4,31.4,34.6,23.6
1065,KY,Harlan County,28.6,35.2,24.1,12.1
1066,KY,Harrison County,17.8,42.5,24.3,15.4
1067,KY,Hart County,25.4,41.6,21.5,11.4
1068,KY,Henderson County,13.7,35.6,33.3,17.4
1069,KY,Henry County,17.4,44.9,26.4,11.3
1070,KY,Hickman County,24.8,41.0,25.4,8.8
1071,KY,Hopkins County,14.5,41.0,29.4,15.1
1072,KY,Jackson County,24.0,44.6,20.2,11.2
1073,KY,Jefferson County,10.7,27.1,30.4,31.8
1074,KY,Jessamine County,15.1,29.1,27.1,28.7
1075,KY,Johnson County,22.3,36.3,29.7,11.7
1076,KY,Kenton County,10.7,29.0,31.2,29.1
1077,KY,Knott County,28.3,34.9,23.9,12.9
1078,KY,Knox County,30.0,38.1,21.0,10.9
1079,KY,Larue County,15.9,41.7,31.6,10.7
1080,KY,Laurel County,22.2,39.2,26.0,12.5
1081,KY,Lawrence County,22.3,42.8,23.5,11.5
1082,KY,Lee County,32.1,41.3,19.0,7.6
1083,KY,Leslie County,36.3,34.6,19.4,9.7
1084,KY,Letcher County,24.9,38.2,25.6,11.2
1085,KY,Lewis County,25.2,41.0,22.2,11.6
1086,KY,Lincoln County,22.5,44.3,23.4,9.9
1087,KY,Livingston County,17.5,46.2,26.3,10.0
1088,KY,Logan County,21.3,39.5,25.8,13.4
1089,KY,Lyon County,12.3,40.1,30.1,17.5
1090,KY,McCracken County,12.2,30.5,34.4,22.9
1091,KY,McCreary County,27.8,40.3,24.2,7.7
1092,KY,McLean County,16.3,41.2,33.3,9.2
1093,KY,Madison County,14.3,29.3,27.3,29.1
1094,KY,Magoffin County,30.6,36.8,22.4,10.1
1095,KY,Marion County,19.3,42.8,24.9,13.0
1096,KY,Marshall County,14.1,40.0,29.9,15.9
1097,KY,Martin County,27.5,38.6,27.7,6.3
1098,KY,Mason County,17.2,38.9,28.0,15.8
1099,KY,Meade County,13.5,37.4,33.8,15.3
1100,KY,Menifee County,23.0,39.8,25.0,12.3
1101,KY,Mercer County,15.3,37.5,28.7,18.5
1102,KY,Metcalfe County,24.0,38.2,26.4,11.4
1103,KY,Monroe County,24.8,41.2,18.6,15.4
1104,KY,Montgomery County,18.3,37.7,27.4,16.6
1105,KY,Morgan County,26.6,36.9,24.6,11.9
1106,KY,Muhlenberg County,20.5,42.8,24.6,12.1
1107,KY,Nelson County,11.0,40.7,31.1,17.2
1108,KY,Nicholas County,20.6,43.0,25.8,10.5
1109,KY,Ohio County,20.8,43.8,25.5,9.9
1110,KY,Oldham County,7.2,23.0,30.0,39.8
